export_value,balance_value
0,-31077
0,-345
0,-44830
24904,-620687
14825,-643169
0,-167453
0,-366612
0,-123342
0,-555771
20231,-508722
87951,-4903639
372220,-9293814
2269,-95154
0,-55568
1152,-12802
0,-16751
12136,-99205
0,-81174
0,-1170
0,-3180
0,-3101
0,-8311
0,-26496
2315,-43592
0,-36975
0,-4417
0,-7058
0,-3980
0,-941
11748,-5864
42268,39510
0,-32957
185,-133
0,-385908
541,743
0,-4000
0,-5465
6666,10073
0,202
0,-26483
0,2948
0,-1921
914,-5226
1355,-1790
0,373711
0,-59304
26413,23622
2148,-3364
285614,175000
0,193983
0,51304
248,-1848
12,-7682
184101,177663
3984,-3612
0,-864
0,-986
0,92
0,-770
0,-15882
0,-2292
0,-6945
0,-9203
211,141
30926,-67354
0,-13982
4541,-18510
1539,-28724
566,-22584
8303,-28343
2601,-451257
12935,-64840
0,-32331
0,-5275
0,-13578
237,-24593
0,-1342209
2000,-76553
18,-206849
0,-24175
0,-10711
289505,-118419
0,-1196
23334,-99966
12,-183371
5003,-633989
0,-522205
3841,-69871
167208,-208471
2045,-75637
63229,-23269
8136,-117996
506313,34571
223,-59848
19423,-11055
0,-46553
46353,-66397
2011,-18789
0,-2972
173800,138890
18561,-46931
0,-50630
16587,-300540
13651,-72215
0,-16656
0,-10975
0,-25402
9598,-725160
5728,-69774
0,-16759
0,-5298
0,-2439
0,-2368
3835,-6612
4558,-212215
1653,-3050
0,-69639
1293,-10054
5195,-85013
2794,-272157
25977,-557084
6155,-272380
33882,-703943
0,-3833
0,-6824
939,-638
92,-22726
0,-2286
0,52342
0,-266
0,-2835
0,-280216
269,-6668
0,-325
0,-232
0,-1297
0,16
0,-61517
167,-3429
0,-430
8747,-126234
274,-87
449,-12796
0,-1461
0,-26
0,-4480
0,-1583
0,-674
2072,-642595
11918,-1755862
338522,-931882
1482,-67776
343884,-1070664
2885,-1221362
1353,-1131157
577,-149178
0,-15902
1218,-36356
0,-45004
56726,-1363036
1,-6421
